record_label_low,occurrences,record_label_major
Conspiracy Records,106,Sony Music Entertainment
M. i. G. - music,106,Universal Music Group
Air Texture,106,Warner Records
Last call records,106,Universal Music Group
Avenue Records,106,Warner Records
Griselda Records,106,Universal Music Group
Burnt Toast Vinyl,106,Independent
DWA Records,106,Independent
Bomp! Records,106,Independent
Uggly Music,106,Sony Music Entertainment
Playaz Recordings,106,Independent
UWe SARL,106,Independent
Cobalt Music - Helladisc S.A. (GR),106,Independent
Memento Materia,106,Independent
One Eleven Records,106,Warner Records
Filled With Hate Records,106,Independent
Soulection,106,Sony Music Entertainment
Ample Soul,106,Independent
Black Lotus Records,106,Independent
Boo Boo Wax,106,Universal Music Group
Belka,106,Independent
Abstract Logix,105,Independent
Wolf Tone,105,Independent
Dark Symphonies,105,Independent
Orfeon,105,Independent
white paddy mountain,105,Independent
Altin Village & Mine,105,Independent
604 Records,105,Universal Music Group
Strange Music,105,Universal Music Group
Vapor/Sire,105,Warner Records
7hard,105,Independent
Milan Music,105,Sony Music Entertainment
Home Grown Music,105,Independent
Field Records,105,Independent
Grandmono Records,105,Independent
Beta Recordings,105,Independent
L'Autre Distribution,105,Independent
UME Direct,105,Universal Music Group
Volendam Music BV,105,Independent
Wolfpack Entertainment,105,Independent
Charly | Immediate,105,Independent
Distort,105,Universal Music Group
musicismusic,105,Independent
Black Rain,105,Sony Music Entertainment
Tosca Productions,105,Independent
Sonic Records,105,Independent
Vulf Records,105,Independent
Acetate Records,105,Warner Records
Audika Records,105,Warner Records
Wohnzimmer Records,105,Universal Music Group
MusicHub,105,Independent
EMI Records Nashville,105,Universal Music Group
Hidden Shoal,105,Independent
C/Z,105,Independent
Crucial Blast,105,Independent
Dronarivm,105,Independent
AOP Records,105,Independent
Millennium Records Ltd.,105,Independent
Thorp Records,105,Independent
Bobby Cahn Records,105,Independent
Mike WiLL Made-It,105,Universal Music Group
Maldito Records S.L.,105,Independent
Cracknation Records,104,Independent
"Stone Music Family, LLC",104,Independent
Aftermath/Shady,104,Universal Music Group
Spectrum,104,Universal Music Group
dBpm Records,104,Sony Music Entertainment
Endtime Productions,104,Independent
Spring House (HSE),104,Universal Music Group
Lost Tribe Sound,104,Warner Records
Lövely Records,104,Universal Music Group
Southeastern Records,104,Independent
Hkm Records nv,104,Warner Records
Irievibrations Records,104,Independent
Rustblade,104,Independent
WM Denmark,104,Warner Records
"Threshold Recordings, LLC",104,Independent
Brash Records,104,Independent
Aimless Records,104,Independent
Promotodo Mexico,104,Sony Music Entertainment
Astral Projection,104,Independent
Loaded Records,104,Sony Music Entertainment
Platipus Music,104,Independent
Rover Records,104,Independent
Bethlehem Records,104,Sony Music Entertainment
Tha Alumni Music Group/88 Classic/RCA Records,103,Sony Music Entertainment
To whom it may concern.,103,Universal Music Group
Orden,103,Independent
Tonspiel,103,Warner Records
Coldharbour Recordings (Armada),103,Independent
2020 НИША,103,Independent
Rivel Records,103,Warner Records
Renegade Hardware,103,Independent
Cohesion,103,Independent
Ne’Astra Music,103,Independent
Razor To Wrist,103,Independent
Local Action,103,Independent
Fastball Music,103,Sony Music Entertainment
SKIP Records,103,Universal Music Group
Creme Organization,103,Independent
SONER MÜZİK,103,Universal Music Group
Lobster Records,103,Warner Records
Beatspace,103,Independent
Voice Music,103,Independent
Ark 21 Records,103,Universal Music Group
Beat Butchers,103,Independent
Jamla Records,103,Independent
C.H.S,103,Independent
Kasba Music,103,Warner Records
mau5trap Recordings Limited,103,Independent
Wicked Cool Records,103,Sony Music Entertainment
Alveran Records,103,Sony Music Entertainment
Bluelight,103,Independent
Forcefield Records,103,Independent
2K,103,Sony Music Entertainment
Waveform Records,103,Independent
Kob Records,103,Independent
Live Up Records,103,Independent
Tradition Records,103,Independent
Cooperative Music,103,Universal Music Group
Imperial,102,Universal Music Group
Error Broadcast,102,Independent
asian gothic label,102,Sony Music Entertainment
Vapor Records,102,Independent
Zenorecords,102,Independent
CRC Records,102,Universal Music Group
Menlo Park Recordings,102,Independent
Pina Records,102,Sony Music Entertainment
Dented Records,102,Independent
Hammer Records (HMR Music Kft.),102,Independent
Bright Antenna,102,Warner Records
Lith Music,102,Universal Music Group
GenePool Distribution Ltd,102,Universal Music Group
Fried Music,102,Sony Music Entertainment
"Warcon Entertainment, LLC",102,Universal Music Group
Premium Records,102,Universal Music Group
Ye Olde Records,102,Universal Music Group
Uncle M Music,102,Warner Records
Bad Boy/Wondaland,102,Warner Records
Diante do Trono,102,Sony Music Entertainment
Pathogenic Records,102,Warner Records
Ecstatic Peace/Universal Records,102,Universal Music Group
Foreign Family Collective,102,Warner Records
SCACUNINCORPORATED,102,Independent
iHipHop Distribution,102,Independent
First Name Soundtracks,102,Independent
SARL DSLZ,102,Independent
Enough Records,102,Universal Music Group
Toffmusic,102,Warner Records
Loveway Records,102,Warner Records
Blackheart Records,102,Sony Music Entertainment
Kindercore,102,Independent
Neo Pacifica Recordings,102,Independent
Tom-Tom Records,102,Warner Records
"Echotone Records, LLC",102,Universal Music Group
Topic Records,101,Sony Music Entertainment
Gravitas Recordings,101,Universal Music Group
Only In Dreams,101,Warner Records
WM Entertainment,101,Warner Records
Syco Music/Columbia Records,101,Sony Music Entertainment
Horror Pain Gore Death Productions,101,Warner Records
EMI CMG,101,Universal Music Group
Amsterdam Trance Records,101,Independent
Lockin' Out Records,101,Independent
Epic/Grand Hustle,101,Sony Music Entertainment
Lil' Chief Records,101,Independent
ACIDHOUZE,101,Independent
bitbird,101,Independent
Jeepster Recordings Ltd,101,Independent
Camobear Records,101,Independent
Take Me To The Hospital,101,Sony Music Entertainment
Pedigree Cuts,101,Sony Music Entertainment
Jet Star,101,Sony Music Entertainment
Future Fame,101,Independent
National Own (UC),101,Universal Music Group
Shelsmusic,101,Independent
1G Records,101,Universal Music Group
Shanti Records,101,Independent
Cinevox Record,101,Independent
Wolf + Lamb Records,101,Independent
Numbers,100,Independent
Ashmont Records,100,Universal Music Group
Dream / IDJ,100,Universal Music Group
origami PRODUCTIONS,100,Universal Music Group
In Trance We Trust,100,Independent
Independant,100,Independent
"QN5, Inc.",100,Independent
The Drop,100,Independent
Captivating Sounds,100,Independent
Nine Mile Records,100,Independent
Tasty,100,Universal Music Group
Too Good,100,Universal Music Group
Evil Ink Records,100,Universal Music Group
Angra,100,Universal Music Group
Midas Music,100,Independent
Glass Ark Music,100,Independent
Wild Pitch,100,Independent
FOUR FOUR,100,Sony Music Entertainment
Native State Records,100,Independent
Sentimony Records,100,Independent
"FOR LIFE MUSIC ENTERTAINMENT,INC.",100,Independent
Eyeball Records,100,Independent
Young Tree Records,100,Independent
Enchufada,100,Independent
Kompakt Digital,99,Independent
White Swan Records,99,Independent
Universal Music New Zealand Limited,99,Universal Music Group
MovieScore Media,99,Independent
Черное Солнце,99,Independent
Championship Music s.r.o.,99,Independent
Deadbeats,99,Warner Records
Keep Your Soul Records,99,Independent
Mezzoforte - Exclusively distributed by Alda Music,99,Independent
Blue Thumb,99,Universal Music Group
eevee,99,Independent
Black Canyon,99,Independent
EMI Gospel (EGS),99,Universal Music Group
Token,99,Sony Music Entertainment
Nonplus Records,99,Independent
Red Star Recordings,99,Independent
Unique Records,99,Independent
PAL Productions Limited,99,Sony Music Entertainment
Colemine Records,99,Independent
Vengeance Records,99,Sony Music Entertainment
Arts & Crafts Productions,99,Universal Music Group
United Pursuit Records,99,Independent
RYTONE Entertainment,98,Independent
Prawn Song,98,Sony Music Entertainment
Sign Of The Times Records,98,Sony Music Entertainment
FFRR,98,Warner Records
Pieater,98,Independent
Diversité,98,Independent
Sun Records - X5 Music Group,98,Warner Records
Sigsaly Transmissions,98,Independent
Play Me Records,98,Universal Music Group
Allan Holdsworth,98,Warner Records
Sun Sea Sky Productions,98,Independent
Obscure Abhorrence Productions,98,Independent
KPM 1000 LP Series,98,Universal Music Group
Coqueiro Verde Records,98,Universal Music Group
New Door Records,98,Universal Music Group
Posh Boy Music,98,Independent
Arrow Records,98,Independent
MTG,98,Independent
Hunger Games 2/Catching Fire,98,Universal Music Group
Super Simple Songs - Arts Music,98,Warner Records
Sunset Blvd Records,98,Sony Music Entertainment
Avian,98,Independent
Onimusic,98,Sony Music Entertainment
Stoney Creek Records,98,Warner Records
Pop Music,98,Sony Music Entertainment
Basin Street,98,Independent
TALITRES,98,Independent
Integral Records,98,Universal Music Group
Night-People,98,Independent
Megadó Kiadó,98,Independent
Celtic Airs,98,Independent
Supercomps,98,Independent
Greco-Roman,98,Independent
Maker Studios,98,Independent
HITCO,98,Sony Music Entertainment
YGEX,98,Universal Music Group
Ekler'o'shock,98,Independent
Vice Records,98,Warner Records
YES MUSIC,98,Independent
Shrimper,98,Independent
Roughstate,98,Independent
595242 Records DK,98,Independent
Content Label,98,Independent
Alter,98,Sony Music Entertainment
Survivor Records,98,Universal Music Group
Noisolution,98,Warner Records
Ascendance Records,97,Independent
"Stone Angel Music, Inc.",97,Independent
Sound Of Finland,97,Sony Music Entertainment
Submerge Recordings,97,Independent
PMI Jet Star,97,Universal Music Group
Racing Junior,97,Independent
Projekt Klasyk,97,Independent
Nar International,97,Independent
Enhanced Music,97,Sony Music Entertainment
President Records,97,Independent
Beer City Skateboards and Records,97,Independent
Shooba-Doobah Records,97,Independent
Lab Records,97,Warner Records
Entreprise,97,Sony Music Entertainment
Soliton,97,Universal Music Group
Line,97,Universal Music Group
Triple X Records,97,Warner Records
Deadline,97,Independent
Epic/We The Best,97,Sony Music Entertainment
Fuzz Club,97,Independent
STRIKE FORCE ENTERTAINMENT,97,Independent
MASKULIN,97,Independent
Nowe Nagrania,97,Warner Records
VLMedia,97,Independent
Poptori,97,Independent
Wild Kingdom,97,Independent
Wu Music Group,97,Sony Music Entertainment
SAOL,97,Independent
Ballista Records,96,Independent
Die Kassierer,96,Independent
Greenstar,96,Independent
Koolarrow Records,96,Independent
X-Energy,96,Independent
Clone Classic Cuts,96,Independent
Infraction,96,Independent
avantgarde music,96,Independent
Golden Antenna,96,Independent
Mars Needs Music,96,Independent
HHV,96,Sony Music Entertainment
Allstar Music,96,Sony Music Entertainment
Stolen Recordings,96,Independent
Generation Now/Atlantic,96,Warner Records
Riot Games,96,Independent
Stormspell Records,96,Independent
CStudio,96,Independent
Acoustic Disc,96,Independent
Uppwind Records,96,Independent
ABC Kids,96,Independent
DSP media,96,Independent
Dramatico Entertainment Ltd,96,Sony Music Entertainment
Break My Fucking Sky,96,Universal Music Group
Wilderland Records,96,Sony Music Entertainment
385ideal,96,Universal Music Group
Real Talk Entertainment,96,Universal Music Group
Moshi Moshi,96,Independent
Repertoire Records (UK) Limited,96,Universal Music Group
Casablanca new/Republic Records,96,Universal Music Group
Dark Clover Records,96,Independent
Rodeostar Records,96,Universal Music Group
Nursery Rhymes 123,95,Independent
Cat-O-Log Records,95,Sony Music Entertainment
Village Green Recordings,95,Independent
Jaromír Nohavica,95,Sony Music Entertainment
Dropkick Murphys,95,Warner Records
Other People Records,95,Sony Music Entertainment
Zircon Studios,95,Sony Music Entertainment
Toolroom Records,95,Independent
Rocket,95,Universal Music Group
Premium Latin Music,95,Sony Music Entertainment
Mis Ojos Discos,95,Sony Music Entertainment
Project Pitchfork,95,Warner Records
Neosignal Recordings,95,Independent
Erock,95,Independent
Soul:R,95,Independent
Decaydance Records / Fueled By Ramen,95,Warner Records
Twisted Chords,95,Universal Music Group
Metal On Metal Records,95,Warner Records
S2 Records,95,Sony Music Entertainment
Verglas Music,95,Independent
Yebo Music,95,Universal Music Group
Timeless Records,95,Independent
Conspiracy International,95,Universal Music Group
Bad Timing Records and Many Hats Distribution,95,Independent
Fréa Records,95,Independent
NOIZGATE Records,95,Independent
Dwell,95,Independent
T-Palette Records,95,Independent
Liquor & Poker Music,95,Independent
New Images Limited,95,Warner Records
Pop Wig,95,Universal Music Group
Observer Music,95,Independent
Long Distance,95,Universal Music Group
SHINKANSEN RECORDINGS,95,Sony Music Entertainment
Easy Sound Recording Company,95,Sony Music Entertainment
Pequeño Salto Mortal,95,Sony Music Entertainment
Starship Entertainment,95,Universal Music Group
Nevado,95,Independent
Kiez Beats,95,Independent
A&M JAZZ,95,Universal Music Group
Uptown,95,Universal Music Group
스타쉽엔터테인먼트(Starship Ent.),95,Independent
Butterfly Temple records,94,Warner Records
Planet Records [Powered by Planet Distribution],94,Independent
Graveface Records & Curiosities,94,Sony Music Entertainment
White Room Records,94,Universal Music Group
Musical Productions,94,Independent
100% Electronica LLC,94,Independent
Uproar Entertainment,94,Universal Music Group
Pig Baby Records,94,Independent
GMM GRAMMY PCL,94,Universal Music Group
Cadence Records,94,Warner Records
S Records,94,Sony Music Entertainment
Atmosphériques,94,Sony Music Entertainment
Universal Music (Pty) Ltd.,94,Universal Music Group
Creator-Destructor Records,94,Sony Music Entertainment
Buygore,94,Warner Records
Erato/Warner Classics,94,Warner Records
Fake Diamond,94,Sony Music Entertainment
